registration_no,subject_content,action_name,date_of_action,org_name,org_name2,remarks,id
AYUSH/E/2019/00692  ,   मै BPL कार्ड धारक हू परंतु **** की जनगणना  मे सही से सर्वे न  होने के कारण आयुष्मान योजना की पात्रता सूची  मे नाम नही  आ पाया  इस कारण अनुरोध  है की पात्रता सूची की जाच कर आयुष्मान कार्ड बनवाने का कस्ट करेADDRESS  ग्राम:-ढ़ेढ़ी पोस्ट:-बेदौरथाना:-हलियालालगंज मिर्ज़ापुर******मोबाइल:-********** ,TAKEN UP WITH SUBORDINATE ORGANISATION,03-10-19,Department of Health & Family Welfare,Health and FW, ,130
AYUSH/E/2019/00697  ,Reimbursement  No.**A submitted on **.**.**** in favour of Mrs. Niraj Sharma CGHS card No.***** beneficiary ID No ****** has not been settled so far.Aajay Parshad Sharma,TAKEN UP WITH SUBORDINATE ORGANISATION,04-10-19,CGHS Delhi,cghs office Northzone, Please look into the matter.,134
AYUSH/E/2019/00701  ,Hi SirI have raised date of birth change for my PF(Provident Fund) account * months back but still I do not get any response from PF team. I tried follow up using mails and calls but no luck. I request you to please intervene and do the needful. This is approved by Employer but its still pending from KR PURAM office. Kindly look into it.UAN number ************Reference Number :PYKRP*****************_********,TAKEN UP WITH SUBORDINATE ORGANISATION,09-10-19,Employees Provident Fund Organisation (Head Office),"EPFO, Regional Office, K R Puram", ,136
AYUSH/E/2019/00702  ,I am travelling form Malad to Churchgate in Malad Local (Time **:** from Malad) but this local is already loaded with passenger from Kandivali. RPF person should board the train and make sure that this train should start boarding of passenger from Malad station only rather than from yard. This all matter regularly send to Western Railway Department but till now no strict action has been taken.,TAKEN UP WITH SUBORDINATE ORGANISATION,04-10-19,WR Mumbai Central,MMCT Security, Kindly examine and submit online remarks at the earliest.,140
AYUSH/E/2019/00709  ,I am Proud BSNL subscriber from past ** years and now i am regret to say that consumer support is diminishing day by day and it seems there is no use to continue my association with BSNL.From Past ** years I am using BSNL broadband services. Earlier whenever there was some outage it used to rectified after our complaint within ** days. But from * past year i am facing issue of continuous outage of Broadband services and now no-one from BSNL is listening to us(even when my House is just opposite to Shaheed Nagar - Agra Telephone Exchange).I have raised complaint via:--In-person to Telephone exchange and BSNL City office--Complaint escalated to SDO (Malkit Singh-**********) Of region.(He himself suggesting me to move to Private broadband provider). --Called to customer care(but no-one picks up phone in customer care).Few responses i received from BSNL team are listed below:--Your Modem is faulty (Already replaced my modem)--There is earthing in broadband line your house (how it is affecting my link of house)--We dont have equipment to check (what shall i do for procurement of equipment)You raise complaint to ministry.,TAKEN UP WITH SUBORDINATE ORGANISATION,05-10-19,UP (West) Telecom Circle,AGRA SSA, The action may be taken in the matter and a reply duly approved by unit head concerned be sent to the complainant directly and uploaded in the portal also. Further it is requested to verify the redressal of the grievance from the complainant his satisfaction/feedback should be taken and write the name and designation of the executive in the SSA who has spoken and verified from the complainant with date and time.,142
AYUSH/E/2019/00711  ,I am trying to withdraw my PF but not able.More than * years completed still I havent got my PF .My UAN no is ************.please help me for withdraw my PF.you can mail me on my email ID for further communication.,TAKEN UP WITH SUBORDINATE ORGANISATION,09-10-19,Employees Provident Fund Organisation (Head Office),"EPFO, Regional Office, Howrah", ,144
AYUSH/E/2019/00712  ,dear respected sir plz ascapt my grievance  sir plz sir ji,TAKEN UP WITH SUBORDINATE ORGANISATION,04-10-19,Ministry of Railways ( Railway Board),Establishment Directorate, ,146
AYUSH/E/2019/00713  ,Our honorable Prime Minister I Gaurav Painwal a student of B.Tech. final year is appearing in the GATE **** examinations. I have submitted application form for the exam and I have got a message from IIT Roorkee to clear my defect which was related to my signature whose background was blurred and I have uploaded the new signatures according to that purpose. Sir it has been ** days since I have done the changes and till today I have not got any answers from the Officials that is it correct or not  and the last date of the application portal is **-**-**** my future is very much depended on this examination so sir I request you to please take action for this because many other students have the same issue. I will be very thankful to you.,TAKEN UP WITH SUBORDINATE ORGANISATION,10-10-19,DIRECTOR IIT,IIT ROORKEE,  Forwarded for necessary action. A reply may be sent to the petitioner.,148
AYUSH/E/2019/00714  ,Our honorable Prime Minister I Gaurav Painwal a student of B.Tech. final year is appearing in the GATE **** examinations. I have submitted application form for the exam and I have got a message from IIT Roorkee to clear my defect which was related to my signature whose background was blurred and I have uploaded the new signatures according to that purpose. Sir it has been ** days since I have done the changes and till today I have not got any answers from the Officials that is it correct or not and the last date of the application portal is **-**-**** my future is very much depended on this examination so sir I request you to please take action for this because many other students has the same issue. I will be very thankful to you.,TAKEN UP WITH SUBORDINATE ORGANISATION,10-10-19,DIRECTOR IIT,IIT ROORKEE,  Forwarded for necessary action. A reply may be sent to the petitioner.,150
AYUSH/E/2019/00719  ,Request For Amendments In Notification *.*.**** to help Pakistani Hindu migrants,TAKEN UP WITH SUBORDINATE ORGANISATION,24-10-19,Ministry of Home Affairs,Foreigner Division, ,152
AYUSH/E/2019/00720  ,Sir my record is DSC kannur  not beg roorki.plese check,TAKEN UP WITH SUBORDINATE ORGANISATION,16-10-19,US Mov,Canteen Services Dte,Necessary action please. ,154
AYUSH/E/2019/00721  ,My grievance/ query related to the Ministry of Health now Ayush Mantralya under who CGHS is working.I being a Central Govt.wants to know why this facility/ contribution is Mandatory if he/ she live in Cghs covered area.I want to draw your kind attention on the following points.* It should not be made compulsory as presently most of Health cum Medical Insurance companies are offering at competitive rate of Premium with Cashless facility with more empanelled hospitals.* Since the Job is transferrable in Non Cghs covered Area in that situation he/ she has to applied for Private Health Insurance Co.* As far as Medical Leave is concerned in case of Gazetted Officer Either Cghs Dr. or Civil Govt.Dr. can be authorised.* There is so much Light formation ones have to complete to avail this faculty some are as Renewal of Plastic I. Cards after every * YearsIn case of loss of cardsFUR cum Police complain required as I have been told with payments of some charges by paying in Bank.Others things are not remembering me.but will share soon.So looking to the above scenario in my view a debate/ consideration is required to make it option and shall be leave to the employee at his best discretion.Thx.In waiting to your fruitful and timely reply.,TAKEN UP WITH SUBORDINATE ORGANISATION,11-10-19,RSBY,Department of Health and Family Welfare, ,156
AYUSH/E/2019/00722  ,Against jio infocom,TAKEN UP WITH SUBORDINATE ORGANISATION,10-10-19,Department of Telecommunications,Reliance Jio Infocomm Limited, The Case is forwarded to the service provider/Company for taking needful action. A report regarding action taken may communicated to this office within ** days from the date of receipt for further action at this end.   PG WING DOT HEAD QUARTER,158
AYUSH/E/2019/00723  ,Date: **/**/**** To The Chairman and Managing Director BSNL corporate office New Delhi. With all humility towards the authority I submit as follows. Un tenable reply given to my earlier grievance DOTEL/E/****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/***** AND DOTEL/E/****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/***** by replying authority. Similarly the reply is not only outside the jurisdiction of the replying authority but also outside the scope of relevant Act. From the reply it reveals that the (so called) AGM commercial of GMT Ratnagiri is trying to suppress the matter under the reason which is best known to her/him only. Hence grievance is re lodge.Untenable reply to my earlier grievance No. DOTEL/E/****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****/*****. Hence grievance is re lodged. Further untenable and based on personal bias reply given to my earlier grievance No. DOTEL/E/****/*****/*****/*****/*****/*****/*****/*****/***** by replying person and his so called competent authority hence grievance relodged. Similarly Untenable / invisible / imaginary reply given by Mr. Parolekar And others to my Grievance No. DOTEL/E/****/*****/***** . Also reply is based on personal bias. Hence grievance is relodged. You are already aware that when any BSNL employee is arrested by police and awarded him custody it was mandatory upon you to take immediate action against the said employee under BSNL CDA rule ****. On this back drop I hereby state that one of the employee of your GMT Ratnagiri under Maharashtra circle Mr. Ranjeet Ramesh Pawar is arrested by Police and awarded him police custody on **/**/****. By looking towards the gravity of the matter it is mandatory on the competent authority of BSNL to take the cognizance of this matter and to take suitable action against said Mr. Pawar. But unfortunately till date any action is not taken and still he is in your employment and representing BSNL. at MIDC Ratnagiri Maharashtra exchange. The reason/s for not applying the CDA rule and not taking the action against said Mr. Pawar are best known to GMT Ratnagiri and CGMT Mumbai. Therefore in support of my grievance I have enclosed herewith article of newspaper dated **/**/**** and request you to obtain his police record and take action immediately against said Mr. Pawar in the interest of Public and the bright image of BSNL .Mrs. Shubhada C Patkar.,TAKEN UP WITH SUBORDINATE ORGANISATION,11-10-19,MAHARASHTRA TELECOM CIRCLE,RATNAGIRI, The action may be taken in the matter and a reply duly approved by unit head concerned be sent to the complainant directly and uploaded in the portal also. Further it is requested to verify the redressal of the grievance from the complainant his satisfaction/feedback should be taken and write the name and designation of the executive in the SSA who has spoken and verified from the complainant with date and time.,164
AYUSH/E/2019/00727  ,My name is Pratima Thakre My account is in the State Bank of India which has its branch in Linga Navegaon which I want to change the name of my account but the documents that were asked by the bank even after giving the whole document say that your Marriage certificate is not right so your name cannot be changed because my marriage certificate is made up of gram panchayat due to which I have Its not like that please help me thank you,TAKEN UP WITH SUBORDINATE ORGANISATION,11-10-19,State Bank of India,CGM LHO BHOPAL, Please examine the grievance on priority basis and send a reply to the petitioner. Also upload a copy of reply sent to the petitioner on CPGRAMS along with the ATR within the prescribed time limit and as per gravity of the grievance.,166
AYUSH/E/2019/00729  ,Subject delay to delivery for online booking Booking date ** ** ****SirMy name is Roji khatoon and I am customer of Uchkagaon Indian but I am very upset with your service at I had online booking this ** ** **** but not arrive my LPG cylinder booking order number is RE************** and my reference  number is ********* but my cylinder is not arrived at my home           I requested to you my cylinder delivery on time       Thank you Name ROJI KHATOONREG MOB NO IS **********BRANCH uchkagaon Indian Gopalganj bihar,TAKEN UP WITH SUBORDINATE ORGANISATION,10-10-19,LPG,Bihar SO, PLEASE EXAMINE AND REPLY,174
AYUSH/E/2019/00730  ,Subject delay to delivery for online booking Booking date ** ** **** CUNJUMER NO IS **********SIR  My name is Roji khatoon and I am customer of Uchkagaon Indian amtha bhauan line bazar but I am very upset with your service at I had online booking this ** ** **** but not arrive my LPG cylinder booking order no is RE************** my reference number is ********* but my cylinder is not arrive at time      I requested to you my cylinder delivery on time Thank you NAME ROJI KHATOONConsumer no is ********** Branch UCHKAGAON INDANE AMTHA LINE BAZAR GOPALGANJ BIHAR REG MO NU IS **********,TAKEN UP WITH SUBORDINATE ORGANISATION,10-10-19,LPG,Bihar SO, PLEASE EXAMINE AND REPLY,182
AYUSH/E/2019/00732  ,R/sir This is regarding Petition to D.G.Post submitted under provision of Rule *** of P.O.Manual Vol.ll on the subject of  Grant of Com. Leave on medical ground case of N. S. Wankhede retired ssp satara Division of Maharashtra Postal Circle.*.The petition is submitted to Hon. Secretary (Post) Department of Post Dak Bhavan Sansad Marg New Delhi-****** on **.**.**** through proper channel with Advance Copy to the Addressee. (I)The Petition is despatched to Hon. CPMG MAHARASHTRA MUMBAI by speed post No. EM********** IN on **.**.**** which is delivered on **.**.****.(II) An Advance Copy is despatched to Secretary Post by Registered Post No. RM ********* IN on **.**.**** which is delivered on **.**.****.*-sir The normal period to decide the Petition cited in the rules is * Months whereas more than * months have been elapsed since delivery of the petition but neither CPMG MUMBAI has informed me that the petition is submitted to the Addressee for decision nor The Addressee has communicated me the decision on petition on basis of Advanced Copy received in the office.*. Sir Kindly accord justice in matter by applying judicial mind within spirit of facts cited in the petition & decide the petition pl.     Thanking you sir                                       Yours sincerely                      N. S. Wankhede,TAKEN UP WITH SUBORDINATE ORGANISATION,25-10-19,Maharashtra Postal Circle,Director of Accounts (Postal) Nagpur, Pl see the remark of Pune Ro and give suitable reply. ,184
AYUSH/E/2019/00734  ,R/sir This is regarding removal of Anomaly in pay arises on consequence of fixation of pay under *th CPC ****.*)Sir I have submitted the request on the subject matter to Hon.SECRETARY DEPARTMENTAL ANOMALY COMMITTEE Directorate New Delhi ****** on **.**.**** through Proper channel. *)The circle office Mumbai has forworded the the same to Assistant Director General(SPN/SGP) Department of Posts Dak  Bhavan Sansad Marg New Delhi-****** vide L. No. STA/*-*(**)/* dated **.**.**** for further necessary action. *)Sir no action in the matter till this date.The pay of my junior has been fixed more than my pay on *.*.****.*) Kindly decide my request for stepping up of pay with my junior considering the particulars cited in my request letter dtd *.*.**** pl.  Thanking you sir                    Yours Faithfully                    (N. S. Wankhede)                    Rtd. SSP Satara,TAKEN UP WITH SUBORDINATE ORGANISATION,11-10-19,Department of Posts,SPN Section, Please examine and resolve the case by **.**.****. ,186
AYUSH/E/2019/00737  ,Respected sirThis is on behalf of my father aged ** years who is willing availing the health scheme launched by Honble PM in the Year ****  as a pilot project in Metro cities for retired Railway employees . Due to non publicity of the same my father could know and apply for the same online and manually during the month of July **** only  and the same  is pending since long .( copy of the online submission details are enclosed herewith)My father is cardiac  patient and severe kidney ailments who is requiring frequent hospitalizationNow whenever he or me contact the Railway officials  they dont respond positively and neither updated anything online nor over call center phone.It is taking  nearly four months to even acknowledge /ake action after submission of CTSE request along with DD  to Southern Railway office personally by me ailing father  .It is related to life  Mental Agony  health security and financial issues of retired employee who is lot of hope and anticipating the card from Railways .I kindly request your kind self to intervene the above said issue and kindly make it possible that the CTSE card is issued to him promptly as it is related to his life  and severe ailments  at this ripe age for timely usage at contingencies  .Also I would like to mention this not only the case of my father there are many other retired employees kept dark who could not avail the said opportunity launched by PM  due to inconsiderate irresponsible  inhuman  and  careless attitude of southern Railway employees,TAKEN UP WITH SUBORDINATE ORGANISATION,11-10-19,Southern Railway,Personnel Branch, Please examine,190
AYUSH/E/2019/00751  ,I request to Honorable Office of the Additional Secretary OE & PGE MEA Chankyapuri New Delhi - ******. Consider my attached application as per Email Received from Under Secretary Shri Naveen Kumar Foreign Service Personnel & Cadre. South Block Ministry of External Affairs New Delhi - ******. Regarding my Grievances.,TAKEN UP WITH SUBORDINATE ORGANISATION,14-10-19,Ministry of External Affairs,Overseas Emp and Protectorate Gen of Emigrant,  Kindly look into this matter and take appropriate action.,194
AYUSH/E/2019/00757  ,we working in Ashok auto SALES Agra as a account assistant. we check monthly bank for reconciliation that we found bank had deducted the amount of Rs ****/- which is not issued cheque by our company after that we complaint forward to canara bank belanganj branch agra bank code **** and branch continuously followup with concern bank or branch but that branch not reply with sufficient answer. this payment has deducted by cheque no ****** on dt **/**/**** in favour of Aspire Publication India-Hdfc bank from our current account no *************You are requested to please followup and refund the payment in our account.,TAKEN UP WITH SUBORDINATE ORGANISATION,15-10-19,Canara Bank,CANARA BANK LUCKNOW CIRCLE OFFICE, Kindly examine the issue and redress it at the earliest. Address a suitable reply to the complainant and upload in the system. Accord top priority to it.,196
AYUSH/E/2019/00759  ,My name is Krushnakant Rajendra Nagargoje. I have qualified NET dec ** examRoll number MR**********Also I qualified NET JRF JUNE ****ROLL NUMBER   MR******** I still dont receive net e certificate also I dont receive jrf award letter I am a research scholar now . I have taken admission for Ph.D I personally visited delhi spending thousands of rupees to se what happened...as the contact number are useless .After a lot of effort once I can contact NTA office they said it is  responsibility of ugc and ugc said it is of ntaAll this procedure is very painful after pursuing PG and qualifying NET and being a Ph.D scholar I can say ....nothing good  can happen in this country ...these officials and irresponsible staff will ruin the country and its futureAs unemployment is ob its peak jrf qualified candidates at least can get their so called stipend amount without being tortured,TAKEN UP WITH SUBORDINATE ORGANISATION,11-10-19,Bureau - Technical Education,DIRECTOR IIT,  Please examine the matter raised by the petitioner,200
AYUSH/E/2019/00762  ,Respected Prime MinisterMy name is Asif Khan. I got two-wheeler finance from HDFC Bank Neemuch (MP). Due to missing my job I became unemployed and now I am not able to get as much salary in the new job as I can afford to cover the expenses of the house or to pay the installment of the car so I could not deposit the installments of the vehicle on time. Now the bank is harassing me and my family a lot. I request you to get rid of this loan. My loan amount is not very big. Please forgive my loan from the bank. I had earlier written an application for your help whose no. PMOPG / E / ****/*******. But no response was received. Please do solve my problem as soon as possible.My loan account no. There are ********. Which is HDFC The bank is registered in the name of Neemuch (MP) Tarannum Asif Khan.,TAKEN UP WITH SUBORDINATE ORGANISATION,10-10-19,Reserve Bank of India,HDFC BANK, कृपया शिकायत की जांच समयबद्ध रूप से करने की व्‍यवस्‍था करें और शिकायतकर्ता को उपयुक्त उत्तर भेजें । और उसके निपटान के तुरंत बाद शिकायतकर्ता को भेजें गए उत्तर को सीपीग्राम्स पोर्टल पर भी  अपनी टिप्पणी/ कार्रवाई के साथ अपलोड करें। Kindly arrange to examine and redress the grievance and give appropriate reply to the complainant within a time bound manner. After redressal a copy of  reply given to complainant alongwith your comments/action may be uploaded on the CPGRAMS portal.  ,206
AYUSH/E/2019/00767  ,Sir myself madhukar Sharma I am a private employee working  in ITC ltd ABD division (third party). SIR my problem is that I  cant transferred my   PF balance from last vendor to current vendor because my date of birth wrong in my last vendor account. Last vendor closed their work.  From Last *.* year I suffered this problem. I have also visit my EPFO office Jaipur branch  many times but no solution found for my problem.Also their behaviour was not acceptable with all the members having complaints. I have called them on their contact number given at EPFO portal (Regional) many times but no reply received from their end for a single time. I have already mailed to ro.jaipur@epfindia.gov.in for the correction but every time they have told me to wait for *-* days. My observation from last *.* years is that they might put the phone receiver aside so that no one call contact them.Sir. Request you please see in my matterMy UAN NO IS ************If you find any information form me please revert on this,TAKEN UP WITH SUBORDINATE ORGANISATION,11-10-19,Employees Provident Fund Organisation (Head Office),"EPFO, Regional Office, Jaipur", ,208
AYUSH/E/2019/00769  ,I am Amol Panse Managing Director of PROSONIC Technologies Pvt. Ltd.We have Received * Cheque from Uganda Client which got cleared from Axis Bank Account No. ***************.But Now AXIS Bank has informed us that Cheque was Fraud Cheque and Axis Bank Nostro Account has been debited by Bank of America for same amount and for same reason they have blocked our account for no fault of ours. We sincerely request you to Kindly help us regarding same.  Sincerely Looking Forward Your Support.,TAKEN UP WITH SUBORDINATE ORGANISATION,11-10-19,Reserve Bank of India,AXIS BANK, कृपया शिकायत की जांच समयबद्ध रूप से करने की व्‍यवस्‍था करें और शिकायतकर्ता को उपयुक्त उत्तर भेजें । और उसके निपटान के तुरंत बाद शिकायतकर्ता को भेजें गए उत्तर को सीपीग्राम्स पोर्टल पर भी  अपनी टिप्पणी/ कार्रवाई के साथ अपलोड करें। Kindly arrange to examine and redress the grievance and give appropriate reply to the complainant within a time bound manner. After redressal a copy of  reply given to complainant alongwith your comments/action may be uploaded on the CPGRAMS portal.  ,210
AYUSH/E/2019/00773  ,Subject: (Revised) Regarding Fraudulent use of my ID as a guarantor by another Amit Kumar Gupta belongs to Gorakhpur Mobile No. ********** in M/s. Chandra Spices (c/c a/c (instead of OD) *****-***********) with B/o at Allahabad Bank Kedar khand Hindi Bazar Gorakhpur (UP).,TAKEN UP WITH SUBORDINATE ORGANISATION,11-10-19,Department of Financial Services (Banking Division),Allahabad Bank, Please examine the grievance at an appropriate level for redressal. Action Taken on the grievance may be intimated to the petitioner and a copy of the reply sent to him be uploaded on CPGRAMS along with ATR.,212
AYUSH/E/2019/00775  ,MATTER RELATED TO UNION BANK OF INDIA CHANDIGARH CIRCLESub : Malafide disposal of PG PORTAL grievance DEABD/E/****/*****Ref : Release of postal cover by bank authoritiesAbove mentioned grievance was disposed malafidely by stating the same as suggestion. The bank representative assured me over phone that needful shall be done to curb the wastage of money as the postal cover has a limited reach and the outcome shall be informed after the receipt of report from Chandigarh Circle.The grievance is presented again for appropriate action.On **-*-** Union Bank of India released a postal special cover from Chandigarh. It was a commendable effort for raising public awareness about cleanliness. Image annexed as pdf file.But it is regretted to state that the message was conveyed to very few people as the philately business of India Post is running into huge loss & shrinked considerably.The message failed to reach the target i.e. youth.Anil a former employee of the bank is leaving no stone unturned to criticise the philately policies of India Post on various online platforms. Hence release of postal cover is a wastage of money. It is requested to discard the release of such postal covers in future and opt for online platforms which had a better connect with youth as well as wider reach to other people as well.,TAKEN UP WITH SUBORDINATE ORGANISATION,11-10-19,Department of Financial Services (Banking Division),Union Bank of India, Please examine the grievance at an appropriate level for redressal. Action Taken on the grievance may be intimated to the petitioner and a copy of the reply sent to him be uploaded on CPGRAMS along with ATR.,214
AYUSH/E/2019/00778  ,Dear Sir/MamI am facing lost of problems in ESI Hospital. My father treatment is going in that hospital. I.P No **********all reports and complaint letter are attached in mail. please see.you are my last hope. please do the needful for us.Thank youKuldeep Kumar**********,TAKEN UP WITH SUBORDINATE ORGANISATION,14-10-19,ESIC Delhi Region,ESIC Hospital Rohini (Delhi), Please resolve the grievance and upload comments within * days.,216
AYUSH/E/2019/00782  ,Punjab national bank  housing finance  hampinagar  Bangalore.  Have forced and took papers containing to company and self saying loan will be sanctioned. Since they did not fulfill their commitment I approached your goodness for the favour  . On your instructions they have released only ** Percent  when I approached them requesting for the balance they are trying to pass on the subject saying only */* is payable the rest cannot be given.  May I request your good self to instruct them to pay the balance as the matter was their force the payment was made based on their assurances the payment made other wise the same will be refunded.  As they are to be blamed for the commitment they are responsible to pay back completely including the GST paid by me.  The bankers are going around and making a false commitments to many and not fulfilling their promises. I was totally taken back their utterances of asking whether the cheque passed and thereby there commitments of filing Of false commitments  finished as the target was achieved.  If this was the case I would not have given my documents at all.  Even now I request d Mr. Girish the person behind the complete episode.  Also I spoke to Mr. Pradeep today he said the charges levied cannot be paid back which is very vague and not befitting their commitment of things through and the intentions only to gather many files and reject later saying unwanted reason s.  As this genuine case in respect of  ref no. Nhl/blrv/****/******  - question in regard with ref no. Deabd/e/****/***** should not be closed.  The same should be persisted henceforth too. Please instruct them to kindly do the need and make them commit without delay.  Regards,TAKEN UP WITH SUBORDINATE ORGANISATION,14-10-19,Department of Financial Services (Banking Division),NATIONAL HOUSING BANK, Please examine the grievance at an appropriate level for redressal. Action Taken on the grievance may be intimated to the petitioner and a copy of the reply sent to him be uploaded on CPGRAMS along with ATR.,218
AYUSH/E/2019/00784  ,Respected sir.I am a BSNL pensioner .The department of telecom issued orders to migrate from BSNL medical reimbursement to CGHS facility.Some of my colleagues of Hyderabad are  availing the facility after migrating  to CGHS after due payments approved by Government.But unfortunately  the retirees of BSNL  vijayawada  are not allowed to use the CGHS facility.The  concerned at vijayawada informs the clear orders not available  to extend the scheme.The additional director of Hyderabad has to issue the directive to the concerned  officers of vijayawada .Hence  the retirees of vijayawada earnestly hopes to get their problem solved.Most of the beneficiaries are senior citizens  more than **  years of age please.Thanking you in anticipation Yours faithfullySrikanth k  ( a BSNL pensioner of vijayawada )_,TAKEN UP WITH SUBORDINATE ORGANISATION,21-10-19,CGHS Outside Delhi,Addl. Director Hyderabad, AD Hyderabad to look into the grievance for necessary action,227
AYUSH/E/2019/00786  ,Dear SirMy Car Creta Bearing with number PB**DG**** in the name of chander shekher sethi is lost from Delhi  The incident is more than one year old i.e **Sept**** . I got non traceable report after **days from delhi police after there proper investigation  and the same was further given to National insurance of india for further claim . At the time of investigation  investigator asked for some documents to be given  the same was given to the company with short duration of time  All my belongings were lost in the Car . But then also with the best efforts i gave every document demanded by them . After one year  Insurance company is asking me to provide them the toll slips . How could it be possible for me to provide them the toll slips after one year . The insurance was fully done on time . Inspite of not having the car  still my installments are going in the bank . I am getting very disturbed and harras from the team handling national insurance company at Amritsar . ****** . No one is helping me out to solve out the matter . Whenever i visit there office  they always say to go and asked me to come on the further dates . PLEASE help me out  To solve my case so that i can recieve my claim .National insurance of India Queens Road  Amritsar ******Thanking You,TAKEN UP WITH SUBORDINATE ORGANISATION,25-10-19,Ministry of Home Affairs,UT Division, ,229
AYUSH/E/2019/00792  ,Sir I already complaint about my payment and hostel matter . But I m not satisfied with the answer I have recieved from AIIMS  as they r trying to mislead the facts that i have told to u. Actually we were already told for ** thousands salary three years back when we joined this  college in our counseling . Nd I haved attached that sheet of paper which was given at that time . Nd in the context of hostel I would like to draw Ur attention that still hostels r vacant nd we were also ready for hostel on sharing basis nd this area is also not safe for boys also . I kindly request you to have a personal enquiry team in this matter nd my colleagues were also  scolded by administration for this complaint . Sir  its not just a matter for me only but my whole batchmates r suffering the same  low salary no proper residence even in our AIIMS unskilled labour r being paid **-** thousand salary . We came here for our best future but it has become a problematic situation for us . I hope we will get the best resolution from u.,TAKEN UP WITH SUBORDINATE ORGANISATION,22-10-19,"Director, A.V.",AIIMS Bhubaneswar,  May look into grievance and furnish a reply to the petitioner under intimation to this Ministry. ,231
AYUSH/E/2019/00793  ,Dear sir*) SSC CGL (combined graduate level)  exam age limit is **-**years. *) which university make you graduate in **Years. Please give reply. so i will put my next generation in that.for this i have to take admission in school at age of * than i will become graduate at **.*) according to this ** ** & ** is no use for exam. than why you mention that.*) I request to please make amendment in this dont follow past years rule. please make it **-** so maximum people will get chance to appear. sarv dharm sambhav.jai hind.,TAKEN UP WITH SUBORDINATE ORGANISATION,22-10-19,Staff Selection Commission,SSCHQ, यह लोक शिकायत याचिका / पत्र संबंधित अनुभाग / शाखा / क्षेत्रीय कार्यालय को यह अनुरोध के साथ ऑनलाइन अग्रेषित किया जा रहा है कि आवश्यक उपचारात्मक कार्रवाई की जाए और तदनुसार आवेदक को उत्तर भेजा जाए।,233
AYUSH/E/2019/00798  ,I am K.A.Kushala Rao aged ** Years unable to move submit the following few lines for your kind considerationI am drawing monthly pension from SBI Dilsukhnagar Branch (A/c No.***********).  A total amount of Rs.****/- was deducted from my Pension Account during the year ****-**.I find that the said amount deducted from my pension was not appeared in Form **A (TRACES) .This matter was brought to the notice of The AGM SBI CPPA LAH Hyderabad on **.**.**** through SBI Dilsukhnagar Branch (Acknowledgement obtained) and again I have reminded several times through email on **th **th **rd of Sept. and **th August **** but not response.I request you to advise the concerned to enable to claim refund of Rs.****/- from IT Department at the earliest. K.A.Kushala RaoPh.No.**********Email : kushalarao**@gmail.com,TAKEN UP WITH SUBORDINATE ORGANISATION,22-10-19,State Bank of India,SBI LHO HYDERABAD, Please examine the grievance at an appropriate level for redressal. Action Taken on the grievance may be intimated to the petitioner and a copy of the reply sent to him be uploaded on CPGRAMS along with ATR.,237
AYUSH/E/2019/00799  ,cghs panelled  Rejency हॉस्पिटल कानपुर द्वारा मरीजो cghs card द्वारा कैशलेस इलाज की सुविधा बन्द कर दी गयी हैजिस कारण मरीजो को बहुत तकलीफ हो रही है।despite of being CGHS  empanelled hospital rejency hospital sarvoday nagar  kanpur uttarpradesh.is not giving any facility to cghs card holder please order him to giving cghs facility to the cghs card holder .,TAKEN UP WITH SUBORDINATE ORGANISATION,22-10-19,CGHS Outside Delhi,Addl. Director  Kanpur,  AD Kanpur to look into the grievance for necessary action,241
