registration_no,action_srno,action_name,date_of_action,org_name,org_name2,remarks
CBODT/E/2019/07844,2,TRANSFER TO OTHER ORGANISATION,10-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/07900,4,TRANSFER TO OTHER ORGANISATION,24-04-19,Central Board of Direct Taxes (Income Tax),Department of Justice," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/07900,6,TRANSFER TO OTHER ORGANISATION,25-04-19,Central Board of Direct Taxes (Income Tax),Department of Legal Affairs,Kindly look into the matter and resolve the same at the earliest. 
CBODT/E/2019/07967,2,TRANSFER TO OTHER ORGANISATION,12-04-19,Central Board of Direct Taxes (Income Tax),Government of Madhya Pradesh," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/07970,2,TRANSFER TO OTHER ORGANISATION,12-04-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division)," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/07982,2,TRANSFER TO OTHER ORGANISATION,12-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/08058,29,TRANSFER TO OTHER ORGANISATION,29-05-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division), Kindly take action and upload the final status report at the earliest.
CBODT/E/2019/08096,2,TRANSFER TO OTHER ORGANISATION,15-04-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division)," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/08119,2,TRANSFER TO OTHER ORGANISATION,15-04-19,Central Board of Direct Taxes (Income Tax),Ministry of Labour and Employment," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/08123,2,TRANSFER TO OTHER ORGANISATION,15-04-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division), The grievance should be redressed within the time limit of ** days. In case it is likely to take longer time to redress then an Action Taken Report on the grievance is to be uploaded on CPGRAMS portal and an interim reply with reason for delay must be sent to the petitioner.
CBODT/E/2019/08258,2,TRANSFER TO OTHER ORGANISATION,16-04-19,Central Board of Direct Taxes (Income Tax),Department of Revenue," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/08355,2,TRANSFER TO OTHER ORGANISATION,18-04-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division)," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/08366,2,TRANSFER TO OTHER ORGANISATION,18-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/08369,13,TRANSFER TO OTHER ORGANISATION,23-04-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division), Kindly take action and upload the status report at the earliest.
CBODT/E/2019/08402,2,TRANSFER TO OTHER ORGANISATION,18-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/08402,6,TRANSFER TO OTHER ORGANISATION,24-04-19,Central Board of Direct Taxes (Income Tax),Government of Telangana, The subject grievance does not pertains to CBIC it pertains to Telangana State GST. Hence transferred.
CBODT/E/2019/08500,2,TRANSFER TO OTHER ORGANISATION,22-04-19,Central Board of Direct Taxes (Income Tax),Government of Uttar Pradesh," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/08553,2,TRANSFER TO OTHER ORGANISATION,24-04-19,Central Board of Direct Taxes (Income Tax),Ministry of Home Affairs, Kindly look into the matter.
CBODT/E/2019/08576,12,TRANSFER TO OTHER ORGANISATION,07-05-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs, ACCORDING TO THE AO THE E TDS DATABASE DOES NOT SHOW ANY TDS CREDIT FOR AY ****-** HENCE NO CREDIT CAN BE GIVEN TO THE ASSESSEE BY THE AO. IN VIEW OF THE ABOVE AND SINCE NO ACTION IS CURRENTLY PENDING IN THE AO OFFICE THE GRIEVANCE MAY BE TREATED AS SETTLED. THE DEDUCTOR OF TDS IS DIRECTORATE OF REVENUE INTELLIGENCE. HENCE IT IS REQUESTED THAT THE GRIEVANCE MAY KINDLY BE FORWARDED TO CBEC FOR NECESSARY ACTION
CBODT/E/2019/08582,2,TRANSFER TO OTHER ORGANISATION,23-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/08761,2,TRANSFER TO OTHER ORGANISATION,24-04-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division), Kindly look into the matter.
CBODT/E/2019/08805,2,TRANSFER TO OTHER ORGANISATION,24-04-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division), The grievance should be redressed within the time limit of ** days. In case it is likely to take longer time to redress then an Action Taken Report on the grievance is to be uploaded on CPGRAMS portal and an interim reply with reason for delay must be sent to the petitioner.
CBODT/E/2019/08826,4,TRANSFER TO OTHER ORGANISATION,30-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs, Kindly see the matter and resolve the grievance at the earliest.
CBODT/E/2019/08953,2,TRANSFER TO OTHER ORGANISATION,25-04-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division)," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/08964,2,TRANSFER TO OTHER ORGANISATION,25-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs, Kindly look into the matter and upload the final status report at the earliest. 
CBODT/E/2019/09001,2,TRANSFER TO OTHER ORGANISATION,26-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09076,2,TRANSFER TO OTHER ORGANISATION,30-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09079,2,TRANSFER TO OTHER ORGANISATION,29-04-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division), Kindly look into the matter as the letter has been addressed to banking division as per attachment.
CBODT/E/2019/09087,2,TRANSFER TO OTHER ORGANISATION,29-04-19,Central Board of Direct Taxes (Income Tax),Department of Posts," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09095,2,TRANSFER TO OTHER ORGANISATION,29-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09140,2,TRANSFER TO OTHER ORGANISATION,30-04-19,Central Board of Direct Taxes (Income Tax),Ministry of Labour and Employment," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09143,2,TRANSFER TO OTHER ORGANISATION,29-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09218,2,TRANSFER TO OTHER ORGANISATION,30-04-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09270,2,TRANSFER TO OTHER ORGANISATION,30-04-19,Central Board of Direct Taxes (Income Tax),Ministry of Labour and Employment," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09306,2,TRANSFER TO OTHER ORGANISATION,30-04-19,Central Board of Direct Taxes (Income Tax),Ministry of Labour and Employment," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09382,2,TRANSFER TO OTHER ORGANISATION,02-05-19,Central Board of Direct Taxes (Income Tax),Department of Higher Education," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09383,2,TRANSFER TO OTHER ORGANISATION,02-05-19,Central Board of Direct Taxes (Income Tax),Government of Tamil Nadu," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09393,2,TRANSFER TO OTHER ORGANISATION,01-05-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division)," ** दिनों की समय सीमा के भीतर शिकायत का निवारण किया जाना चाहिए। यदि इसे हल करने में अधिक समय लग सकता है तो शिकायत पर एक कार्यवाही रिपोर्ट सीपीजीआरएएमएस पोर्टल पर अपलोड की जानी चाहिए और देरी के कारण के साथ अंतरिम उत्तर याचिकाकर्ता को भेजा जाना चाहिए। कृपया शिकायत के निवारण पर दस्तावेजी सबूत के साथ अंतिम रिपोर्ट अपलोड करें।	/	 The grievance should be redressed within the time limit of ** days. In case it is likely to take longer time to redress then an Action Taken Report on the grievance is to be uploaded on CPGRAMS portal and an interim reply with reason for delay must be sent to the petitioner. Kindly upload the final report along with documentary evidence on redressal of grievance. "
CBODT/E/2019/09397,2,TRANSFER TO OTHER ORGANISATION,02-05-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09415,4,TRANSFER TO OTHER ORGANISATION,02-05-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division),  Kindly see the matter and resolve the grievance at the earliest.
CBODT/E/2019/09446,2,TRANSFER TO OTHER ORGANISATION,02-05-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09525,2,TRANSFER TO OTHER ORGANISATION,03-05-19,Central Board of Direct Taxes (Income Tax),Ministry of Labour and Employment," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09560,18,TRANSFER TO OTHER ORGANISATION,13-05-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division), Kindly take action and upload the final status report at the earliest.
CBODT/E/2019/09562,16,TRANSFER TO OTHER ORGANISATION,13-05-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division), Kindly take action and upload the final status report at the earliest.
CBODT/E/2019/09609,2,TRANSFER TO OTHER ORGANISATION,06-05-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division)," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09679,2,TRANSFER TO OTHER ORGANISATION,06-05-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09857,2,TRANSFER TO OTHER ORGANISATION,08-05-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/09953,2,TRANSFER TO OTHER ORGANISATION,09-05-19,Central Board of Direct Taxes (Income Tax),Government of Andhra Pradesh," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/10005,2,TRANSFER TO OTHER ORGANISATION,10-05-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/10053,2,TRANSFER TO OTHER ORGANISATION,10-05-19,Central Board of Direct Taxes (Income Tax),Government of Gujarat," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/10142,10,TRANSFER TO OTHER ORGANISATION,18-06-19,Central Board of Direct Taxes (Income Tax),Government of Haryana, Kindly take action and upload the final status report at the earliest.
CBODT/E/2019/10169,9,TRANSFER TO OTHER ORGANISATION,07-06-19,Central Board of Direct Taxes (Income Tax),Ministry of Labour and Employment, Kindly take action and upload the final status report at the earliest.
CBODT/E/2019/10382,12,TRANSFER TO OTHER ORGANISATION,20-06-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division)," यह मामला सीबीडीटी के दायरे में नहीं आता है।	This matter does not come under the purview of CBDT."
CBODT/E/2019/10415,2,TRANSFER TO OTHER ORGANISATION,15-05-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/10526,2,TRANSFER TO OTHER ORGANISATION,16-05-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/10610,2,TRANSFER TO OTHER ORGANISATION,17-05-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division)," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/10658,2,TRANSFER TO OTHER ORGANISATION,20-05-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division)," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/10681,2,TRANSFER TO OTHER ORGANISATION,20-05-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division)," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/10760,3,TRANSFER TO OTHER ORGANISATION,20-05-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/10818,2,TRANSFER TO OTHER ORGANISATION,21-05-19,Central Board of Direct Taxes (Income Tax),Ministry of Labour and Employment," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/10912,2,TRANSFER TO OTHER ORGANISATION,22-05-19,Central Board of Direct Taxes (Income Tax),Central Board of Indirect Taxes and Customs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/10912,4,TRANSFER TO OTHER ORGANISATION,29-05-19,Central Board of Direct Taxes (Income Tax),Government of Andhra Pradesh,"यह मामला सीबीडीटी के दायरे में नहीं आता है।	This matter does not come under the purview of CBDT."
CBODT/E/2019/10946,2,TRANSFER TO OTHER ORGANISATION,23-05-19,Central Board of Direct Taxes (Income Tax),Government of Karnataka," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
CBODT/E/2019/11083,10,TRANSFER TO OTHER ORGANISATION,10-06-19,Central Board of Direct Taxes (Income Tax),Department of Financial Services (Banking Division), Kindly take action and upload the final status report at the earliest.
CBODT/E/2019/11165,17,TRANSFER TO OTHER ORGANISATION,20-06-19,Central Board of Direct Taxes (Income Tax),Government of Bihar, Kindly look into the matter as the matter pertains to your department 
CBODT/E/2019/11168,2,TRANSFER TO OTHER ORGANISATION,27-05-19,Central Board of Direct Taxes (Income Tax),Ministry of Home Affairs," यह मामला सीबीडीटी से संबंधित नहीं है। शिकायत की सामग्री के अनुसार मामला आपके संगठन / मंडल से संबंधित है / हो सकता है। इसलिए आपके अंत में आगे की आवश्यक कार्रवाई के लिए अग्रेषित किया गया।	This matter does not pertain to CBDT. As per the content of the grievance the matter pertains/may pertain to your organization/division. Hence forwarded for further necessary action at you end."
