registration_no,subject_content,action_name,date_of_action,org_name,org_name2,remarks,id
CBODT/E/2019/08070  ,I had applied for address correction of my PAN CARD as back a on **.**.****.I received a SMS on **.**.** stating that my corrected PAN CARD has been despatched by speed post but so far it was not delivered to my address. Despite my old age having severe health issues I have made several visits to my local post office and also to GPO Kolkata.Immediate intervention and redressal solicited,TAKEN UP WITH SUBORDINATE ORGANISATION,15-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Director of Income Tax (Systems)-I, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1719
CBODT/E/2019/08071  ,I Virender Kumar Jain (Karta) of Virender Kumar Jain (HUF) having PAN No- AAGHV****R had filed Income Tax Return for the Assessment Year ****-**** vide acknowledgement no-*************** dated **-**-**** and declared income Rs. ******/- but on dated **-**-**** I had received notice u/s *** (*) (a) of IT Act **** form CPC. As per this notice department computed my income as ******/- instead of my filed ITR income ******/-.when I was trying to filed reply of this notice online on portal the RESPONSE option is locked due to this I am unable to file my reply online . It seems that officer of the department had not applied his mind at the time of completing the assessment or taken amount of income of some other assesse as well no opportunity given by the department for the compliance.It is therefore requested that department may be advice to rectify the computed income and null & void the notice u/s *** (*) (a) of IT Act ****.,TAKEN UP WITH SUBORDINATE ORGANISATION,15-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1721
CBODT/E/2019/08072  ,My pan card is lost and I dont have the pan card number. I lost my entire file.Please help me in resolving this matter by providing the number or a xerox,TAKEN UP WITH SUBORDINATE ORGANISATION,15-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Director of Income Tax (Systems)-I, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1723
CBODT/E/2019/08073  ,That the assessee has been filling the returns of income tax from Ludhiana from past * Years. Please note that the PAN is still lying at Batala. Please further note that I have already changed my address from Batala to Ludhiana on my PAN. You are requested to please ask the AO Batala to transfer the PAN to Ludhiana from Batala as the correct jurisdiction lies with your Ludhiana income Tax Department.,TAKEN UP WITH SUBORDINATE ORGANISATION,15-04-19,Central Board of Direct Taxes (Income Tax),DIRECTOR GENERAL OF INCOME TAX (SYSTEM)," ** दिनों की समय सीमा के भीतर शिकायत का निवारण किया जाना चाहिए। यदि इसे हल करने में अधिक समय लग सकता है तो शिकायत पर एक कार्यवाही रिपोर्ट सीपीजीआरएएमएस पोर्टल पर अपलोड की जानी चाहिए और देरी के कारण के साथ अंतरिम उत्तर याचिकाकर्ता को भेजा जाना चाहिए। कृपया शिकायत के निवारण पर दस्तावेजी सबूत के साथ अंतिम रिपोर्ट अपलोड करें।	/	 The grievance should be redressed within the time limit of ** days. In case it is likely to take longer time to redress then an Action Taken Report on the grievance is to be uploaded on CPGRAMS portal and an interim reply with reason for delay must be sent to the petitioner. Kindly upload the final report along with documentary evidence on redressal of grievance. ",1724
CBODT/E/2019/08074  ,Dear SirThis is with reference to our earlier request CBODT/E/****/***** dated **th February **** regarding non receipt of refund for A.Y ****-** for Rs.******/-.  We wish to bring to your kind attention that the aforesaid grievance was closed on **th march **** with remarks as The AO has stated that an order u/s *** has been passed giving the assessee credit for all TDS deducted for the relevant AY. The refund computed in pursuance of this order has also been issued to the assessee. In view of the abovegrievance is treated as settled.Since we have not yet received our long pending refund alongwith applicable interest. Thus we requesting your again to kindly do the needful.Many Thanks for your support.,TAKEN UP WITH SUBORDINATE ORGANISATION,16-04-19,Pr. Commissioner of Income Tax Delhi-V,Assistant Commissioner Circle 15 1, Please redress the grievance at the earliest.,1725
CBODT/E/2019/08075  ,I Director of Seven Hills Project Pvt. Ltd. (Private Limited Company) having PAN AAQCS****L had filed the income tax return online for A.Y. ****-**. The said income tax return was selected for scrutiny. The jurisdictional Assessing officer after conducting necessary income tax proceedings determined refund of Rs. ******** and interest u/s ***A Rs. ****** as per Assessment order number ITBA/AST/S/***(*)/****-**/**********(*) dated **.**.**** for A.Y.****-**.Being the refund issuing authority is Centralized Processing Center (CPC) Banglore since * months have been passed we have not received the refund till date. In this regard we have raised * times grievances at CPC Portal. But they are not able to provide proper resolution even after attaching the stay order from jurisdictional AO. We would like to request you kindly step into the matter and provide the resolution as early as possible. To justify our-self we are providing you the stay order issued by the jurisdictional AO.,TAKEN UP WITH SUBORDINATE ORGANISATION,16-04-19,CHIEF COMMISSIONER OF INCOME TAX KOLKATA,"Commissioner of Income Tax, Kolkata-04",** दिनों की समय सीमा के भीतर शिकायत का निवारण किया जाना चाहिए। यदि इसे हल करने में अधिक समय लग सकता है तो शिकायत पर एक कार्यवाही रिपोर्ट पीजी पोर्टल पर अपलोड की जानी चाहिए और देरी के कारण के साथ अंतरिम उत्तर याचिकाकर्ता को भेजा जाना चाहिए। कृपया शिकायत के निवारण पर दस्तावेजी सबूत के साथ अंतिम रिपोर्ट अपलोड करें।It is requested that the matter may kindly be examined URGENTLY and the grievance may be redressed within the time limit of ** days and FINAL ACTION TAKEN REPORT should be uploaded strictly within such time. In case it is likely to take longer time to redress then an Action Taken Report on the grievance is to be uploaded on CPGRAMS portal within such time. Kindly upload the final report along with documentary evidence on redressal of grievance. ,1726
CBODT/E/2019/08076  ,With reference to our earlier grievance in this regard we would like to state that the learned assessing officer has took all the flimsy grounds in passing the rectification order  under section *** of the Act.  The below mentioned are the few grounds which were taken wrongly by the learned assessing officer while passing the order under section *** of the Act. *. Appointed Date: **/**/**** but in the rectification order mentioned **.**.*****. Merger Order delivered on **/**/**** whereas in the rectification order is taken on **.**.*****. Even if a single opportunity of being heard is not provided to us.*. Since the income of both the merged companies are already assessed with M/s Shashimangal Holdings Private Limited than the ITD System of department is not allowing to pass the credit of advance tax paid and TDS deducted under the PAN of Merged company can not be a ground to dispose the rectification petition filed under section *** of the Act.*. Since both the merged companies and assessee company has already filed their ROI upon receipt of Amalgamation Order from high court the learning assessing officer can not take a stand in rectification order  that the assessee should not have filed separate return originally.  Right of filing the revised return was provided by the statute. Further It was held in many judicial decisions that the revised return substitutes to the original return and  upon filing of revised return all the further proceeding should be done on revised return and original return shall be ignored. *. Further The learned assessing officer has taken the ground that when the order of amalgamation was issued on **.**.**** then why the assessee has filed separate returns originally. In this regard we would like to state that the order of high court was delivered on **.**.**** (it is clearly mentioned on high court order) and due to time constant (Due date of filing was **.**.****) the assessee company for the time being has filed separate return and revised its all return once all the compliance requirement of amalgamation was  met by the companies.In view of the above it can be seen that the learned assessing officer was merely in hurry to dispose the grievance and has passed the rectification order which is totally inconsiderable. In this regard we pray before Additional Commissioner/ CIT of jurisdiction assessing officer to look into matter and not to do unnecessary hardship  to file a CIT Appeal for taking only TDS Credit and Advance Tax Credit. Your kind co-operation in this regard will be highly appreciated.,TAKEN UP WITH SUBORDINATE ORGANISATION,21-04-19,ADDL CIT 2 3,DCIT Circle- 2 3 2,The grievance should be redressed within the time limit of ** days and an Interim Report should be uploaded within * days.,1727
CBODT/E/2019/08077  ,Respected Sir/MamYou are requested to tell me the tentative/final number of vacancies of Stenographer grade D in CBDT for SSC STENOGRAPHER GRADE C & D ****. And till when the department will give its vacancies to the concerned department/commissionthank you.,TAKEN UP WITH SUBORDINATE ORGANISATION,15-04-19,DIRECTOR GENERAL OF INCOME TAX (HRD),Director of Income Tax (HRD)-II, Kindly look into the matter and redress the grievance at the earliest.,1729
CBODT/E/2019/08078  ,I Kamalesh Kumar holding PAN ADZPK **** B had filed the ITR for AY ****-** with Acknowledgement No. *************** on **.**.**** claiming credit for TDS of Rs. ***** and Income Tax Refund of Rs. ****. However while processing the ITR refund wrongly adjusted with demand of AY ****-**.  The demand which wrongly existed for AY ****-** was dropped and resolution is sought from jurisidiction AO. Therefore I request you to please look into the matter and rectify the processing mistake in my ITR as soon as possible.,TAKEN UP WITH SUBORDINATE ORGANISATION,24-04-19,JCIT RANGE1 ALLAHABAD CBDT,ITO WARD 1 2, Please look into the matter and take appropriate action with regard to redressal of grievance,1730
CBODT/E/2019/08079  ,acknowledgement nubmer N- *************** name rajesh kumar gupta Changes Or Correction by E-KYC or pan card number COIPG****M cancel ple prosed by or pan card number AZOPG****A Income Tax deportmen proces help me sir,TAKEN UP WITH SUBORDINATE ORGANISATION,22-05-19,RANGE GONDA,INCOME TAX OFFICER SIDDHARTH NAGAR, Please resolve the grievance at the earliest.,1731
CBODT/E/2019/08080  ,Dear sir                My self sunita singh i hold a pan card (LMMPS****P  ) issued by income tax department.I have a problem regarding this pan card and problem is that my father name is printed on this pan card but i dispatched in document my husband adhaar card.         Printed name on this pan card is munna singh that is my father wrong name and  i want to change it with my husband's name (vijay partap singh).    SO  request to you pls change it.      Thans sir....,TAKEN UP WITH SUBORDINATE ORGANISATION,16-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Director of Income Tax (Systems)-I, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1732
CBODT/E/2019/08081  ,Dear SirI am doing business in Fort area for many years now and I am of first hand information of the Complaint as stated below here.I am of information that a person namely Suresh Velji Faria and his Father Velji Faria having their place of business at Mahavir General Stores *** Bora Bazaar St. Fort Mumbai-****** are not really doing business of General Stores as they claim to from their shop as most of the items are not available in their store and logically one general store would general keep. In fact you will never really find customers at his store/shop.I am of concrete information that these persons are not doing business of General Stores but they are into business of unaccounted cash transactions. On any given day you will find large sum of cash unaccounted getting delivered by several people everyday.This Cash comes in form of bag full of cash notes and these Accused persons are sitting inside the store always.I have noticed the same by waiting outside his shop for several days and observing that the people go in and out with bags in their Hand.At this time of election I am certain that at given day if any search is conducted then the Officers will catch them red handed with large sum of cash. The officers will also find all the accounts of such unaccounted Cash.I am always available to certify this information. I am available to assist the authority as it deems fit to them.Kindly take cognizance of the matter.Thanking you Vinod Faria.***** *****,TAKEN UP WITH SUBORDINATE ORGANISATION,18-04-19,CHIEF COMMISSIONER OF INCOME TAX MUMBAI,"Director General of Income Tax (Inv.), Mumbai", The grievance should be redressed within the time limit of ** days and an Interim Report should be uploaded within * days i.e. by **.**.****.,1733
CBODT/E/2019/08082  ,Respected SirThe grievance is related to the non-receipt of income tax refund by the firm M/s. Unique Construction having PAN: AABFU****N for A.Y. ****-** and A.Y. ****-** till date. The above case falls under the jurisdiction of the Dy.CIT Central Circle-* Vapi Gujarat. Above assessee has filed return of income for A.Y. ****-** vide dated **/**/**** claiming refund of Rs. ******** and of  A.Y. ****-** vide dated **/**/**** claiming refund of Rs. ********. Assessee has filed various refund application to the Ld. AO. However no refund was received by applicant. Assessee had also requested to provide the balance refund amount after considering the additional tax payable by the Unique Construction as per ITSC order so that other group tax also can be paid. Assessee had also filed this proposal as well. However it has not been considered by the Ld. AO. The firm Unique Construction and group is facing a severe financial crisis and will not be able to pay tax determined by ITSC in absence of this due refund. The refund would be very helpful for payment of tax of the group concerns as there are no other funds to pay the demand. Hence it is a humble request to kindly direct and consider the above matter and oblige.,TAKEN UP WITH SUBORDINATE ORGANISATION,26-04-19,CHIEF COMMISSIONER OF INCOME TAX AHMEDABAD,DGIT INVESTIGATION, Kindly see the matter and resolve the grievance at the earliest.,1734
CBODT/E/2019/08083  ,Dear Sir / Madam We hereby informing your good selves that we yet to receive the Giving Effect Order and IT Refund amounting to Rs.******.** for the AY: *** *-**. The said refund was arrived based on the CIT (A) Order dt. **.*.**** served on **.**.**** for the appeals allowed in our favour filed against the Assessment Order u/s *** (*) r.w.s. *** dt. **.**.****. Copy of the Appellate Order enclosed herewith for your kind reference. Also note that the Tax Demand of Rs.******.** arrived in the above Assessment order u/s *** (*) alongwith Interest had already been adjusted against the IT Refund for AY: ****-**. We have also filed a request letter dated **.**.**** with the Jurisdictional Assessing Officer to process the said refund based on the CIT (A) order and issue giving effect to the CIT (A) order (copy enclosed). Continuous follow up actions being made with the assessment circle for the same. We have also filed one more request letter dt. **.*.**** (copy enclosed) to the AO to process the same. But the same was not processed till date.  Hence be pleased to Direct the AO to issue Giving Effect Order to CIT (A) order and to release the Refund amounted to Rs.**** ***.** alongwith Interest u/s ***A from AY:****-** upto till date at the earliest. Thanks Regds .FREINS METAL LIMITED Chennai. TN.,TAKEN UP WITH SUBORDINATE ORGANISATION,15-04-19,CHIEF COMMISSIONER OF INCOME TAX  CHENNAI,CHIEF COMMISSIONER OF INCOME TAX II,The grievance has been forwarded to the Assessing Officer concerned.,1736
CBODT/E/2019/08084  ,Not given refund since last * years..not paid even after receiving Intimation U/S ***(*) for PAN AIVxxxxx*P AY:****-**.I guess made me to Sufferi because of regular middle class tax payer..Sachin,TAKEN UP WITH SUBORDINATE ORGANISATION,16-04-19,DIRECTOR GENERAL OF INCOME TAX (SYSTEM),Commissioner of Income Tax CPC ITR, Please examine the matter and take appropriate action for the redressal of the grievance and upload the final status report at the earliest.,1737
CBODT/E/2019/08085  ,No Level Playing Field:THE Modi government has enlisted one more government agency illegally to serve its partisan political purpose during the elections. The Income Tax department has been unleashed on opposition political parties and their leaders. The last fortnight has seen a series of raids by IT authorities on leaders of political parties ministers in non-BJP state governments businessmen associated with these parties and key aides of chief ministers and ministers in non-BJP state governments.Such IT raids have taken place against JD(S)- Congress ministers and leaders in Karnataka TDP leaders and ministers in Andhra Pradesh an important DMK leader and treasurer of the party in Tamil Nadu and some former aides of the Madhya Pradesh chief minister Kamal Nath.What is noteworthy is that these raids have taken place after the notification of the Lok Sabha election. When the election process is on it is the Election Commission which is in charge of ensuring a level playing field for political parties and the conduct of a free and fair election.In an electoral system which is enveloped by the deployment of vast amounts of money by candidates and parties it is no ones argument that the use of illegal money should not be curbed. But it is the Election Commission which is tasked with this job. The election machinery under the Commission has been trying though inadequately to check the flow of cash for elections. It conducts searches and seizes unaccounted money in cash and hands them over to the IT authorities for further investigation.But the Modi government bypassing the Election Commission has deployed the IT department and the Central Board of Direct Taxes to selectively target political parties fighting the BJP in the elections. The IT authorities seem to find only non-BJP political leaders and ministers to target for suspected unaccounted money. So far not a single leader or business supporter of the BJP nor its allies have been subjected to raids during the election process.These raids serve a two-fold purpose  to dry up the money flow for the election purposes of these parties and opposition candidates and to tar them with the brush of being corrupt and tax evaders.  In contrast it burnishes the image of Modi as a corruption-buster. Modi was quick to use these raids in the campaign trail. In speeches he has referred to how bundles of money have been found in the houses of bade log.The Election Commission has had a weak response to this misuse of the IT department. It sent a letter to the union revenue secretary in which it stated strongly advise that all enforcement actions during the election period - should be distinctively neutral impartial and non-discriminatory. It also said that chief electoral officers must be kept suitably informed about any suspected use of illegal money in the polls.  The EC should have told the union government that no raid can be conducted on political leaders without its express permission. It is not a matter of suitably informing the chief electoral officer but of getting prior clearance to do so.,TAKEN UP WITH SUBORDINATE ORGANISATION,22-04-19,Central Board of Direct Taxes (Income Tax),COMMISSIONER OF INCOME TAX-INVESTIGATION, The grievance should be redressed within the time limit of ** days. In case it is likely to take longer time to redress then an Action Taken Report on the grievance is to be uploaded on CPGRAMS portal and an interim reply with reason for delay must be sent to the petitioner.,1738
CBODT/E/2019/08086  ,IN election season when political parties are seen to be making promises that would involve a commitment to governments making expenditures later a question is often posed whether the country can afford such a burden. Those who pick this specific criticism among the several possible reasons that could be advanced against what is being offered of course are not in favour of any significant stepping up of public expenditures and effectively assume that the resources that the government can command are not amenable to increase. However Indias tax GDP ratio (central and state taxes combined) has been stuck at around ** per cent of GDP for a long time  which is extremely low by international standards. Moreover two-thirds of the revenues come from indirect taxes in complete contrast to the more common pattern of heavy reliance on direct taxes associated with a high tax GDP ratio. Of course most Indians do not have incomes high enough to pay direct taxes. That if any is however even more of a reason for why revenues should depend less on indirect taxes which tend to make the tax structure regressive. Moreover the evidence clearly indicates that direct tax revenues in India are far below the potential.For the financial year ****-** (assessment year ****-**) the last year for which such figures have been released by the Income Tax Department at least *.** crore entities filed returns with the income-tax department through which they reported an aggregate annual income of Rs **.** crores. Of these entities almost *.** crores (or **.* per cent of the total) were individuals  making up only *.* per cent of the Indian population and representing for sure less than a sixth of all households in the country. Among the rest HUFs filed **.** lakhs of the returns while firms and companies accounted for **.** lakhs and *.** lakhs respectively.The reported income of Rs **.** crores was equal to almost ** per cent of the aggregate national income of the country in that year. This being the share of only the declared income it provides an indication of how large the base for direct taxation in India actually is despite low representation of the populace in it. The tax liability on this income in ****-** was however just *.** lakh crores or *.* per cent of the national income. The quantum of the declared income in one year alone itself being more than two and a half times the total currency with the public also shows how ridiculous was the assumption underlying the note ban that which was announced in the second half of that same year.The case for not levying a higher tax burden on the incomes of those filing returns becomes even weaker when we consider the distribution of the income within them. Highly skewed distributions characterise these whether we look at business incomes or salary incomes  the two main sources which account for **.* and **.* per cent respectively of the total declared income.Business incomes were earned and reported in ****-** by all the different types of entities  some *.** crores in number. More than *.** crore individuals did not report any business income while *.** crores did not report any salary income  in other words there was very little overlap between salary earners and those earning incomes from business activities. However almost ** per cent of the business incomes were reported not by individuals (or HUFs and firms) but by the *.** lakh companies. A mere *** within them accounted for a whopping **.* per cent of this business income of all companies or nearly ** per cent of all business income. Another *** earned **.* per cent of all company business income or *.* per cent of the total. Thus less than **** companies out of *.** lakhs (or *.** per cent of them) accounted for over ** per cent of company profits and ** per cent of all incomes from business. This represents a very high level of concentration of business earnings.Please see the attached PDF File for more details.,TAKEN UP WITH SUBORDINATE ORGANISATION,16-04-19,Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX  CHENNAI," ** दिनों की समय सीमा के भीतर शिकायत का निवारण किया जाना चाहिए। यदि इसे हल करने में अधिक समय लग सकता है तो शिकायत पर एक कार्यवाही रिपोर्ट सीपीजीआरएएमएस पोर्टल पर अपलोड की जानी चाहिए और देरी के कारण के साथ अंतरिम उत्तर याचिकाकर्ता को भेजा जाना चाहिए। कृपया शिकायत के निवारण पर दस्तावेजी सबूत के साथ अंतिम रिपोर्ट अपलोड करें।	 The grievance should be redressed within the time limit of ** days. In case it is likely to take longer time to redress then an Action Taken Report on the grievance is to be uploaded on CPGRAMS portal and an interim reply with reason for delay must be sent to the petitioner. Kindly upload the final report along with documentary evidence on redressal of grievance. ",1739
CBODT/E/2019/08087  ,Dear MadamWe hereby informing your goodselves that we yet to receive the Income Tax Refund amounting to Rs.*******/- for the AY: ****-**.  Though the Income as per Return was accepted and  the full TDS credits of Rs.*******/-   claimed in the Return of Income was granted in the Assessment Order u/s *** (*) dt. **.**.****  and the Tax laibility of Rs.******/- had also been paid the Assessing Officer had erroneously adjusted the entire IT Refund of Rs.*******/- (after adjusting the tax liability) as Interest u/s *** B on the assessed loss.  Based on the  assessment order we have filed a Petition u/s *** to rectify the above mistakes apparent in the said  order. Copy of the order and petition filed are enclosed herewith for your kind reference.  Continuous follow up actions being made with the Jurisdictional Assessment Circle & copy of the relevant documents were also filed repeatedly to process the petition and to collect the refund due.  But the same was not processed till date.    Hence we request you to Direct the Assessing Officer to delete the wrong levy of Interest u/s ***B issue order u/s *** and  to release the refund due amounting to Rs.*******/- alongwith Interest u/s ***A upto till date at the earliest.Kind RegdsTRANSENERGY LIMITEDChennai-TN.,TAKEN UP WITH SUBORDINATE ORGANISATION,15-04-19,CHIEF COMMISSIONER OF INCOME TAX  CHENNAI,CHIEF COMMISSIONER OF INCOME TAX III,The grievance has been forwarded to the Assessing Officer concerned.,1741
CBODT/E/2019/08088  ,Genuine Grievance  avoided by confusing response.,TAKEN UP WITH SUBORDINATE ORGANISATION,16-04-19,CHIEF COMMISSIONER OF INCOME TAX THANE,Commissioner of Income Tax THANE I, ** दिनों की समय सीमा के भीतर शिकायत का निवारण किया जाना चाहिए। यदि इसे हल करने में अधिक समय लग सकता है तो शिकायत पर एक कार्यवाही रिपोर्ट सी पी जी आर एएम एस पोर्टल पर अपलोड की जानी चाहिए और देरी के कारण के साथ अंतरिम उत्तर याचिकाकर्ता को भेजा जाना चाहिए। कृपया शिकायत के निवारण पर दस्तावेजी सबूत के साथ अंतिम रिपोर्ट अपलोड करें,1742
CBODT/E/2019/08090  ,"Brief Background of the case:-*.	Sakshi Madan (PAN AHXPT****R) has deposited TDS u/s *** IA of Rs. *****/- vide challan no. ***** BSR code *******dated **-**-****. On total value of consideration of Rs. *******/- of property.i.e. *** percent TDS has been deposited by her.*.	On **-**-**** the form **QB was revised being she is not the single owner of the property and changed the value of consideration paid by her to Rs.*******/- and marked the property as joint ownedin  form **QB.*.	On **-**-**** again form **QB was revised and the changes are marked as consideration paid by her to Rs.*******/- instead of Rs. *******/-which was later on approved by the Income Tax Department manually and marked credit of Rs.***** towards the seller out of Rs.*****/- TDS deposited by her earlier.*.	However credit of Rs.*****/- is not given back to assessee out of balance amount of challan of Rs ******/-.Copies of Forms and Challan are enclosed.The assessee has deposited a letter to the assessing officer (TDS) to rectify the mistake and refund the excess deposited TDS of Rs *****/- to her. However it has not been refunded till date neither the credit has been reflected in ** AS so that the assessee can take the refund at the time of filing of ITR. Kindly process the case and issue refund as Rs ***** has been stuck in the system and is not crredited back to the assessee. For further details may contact CA Mohit Jain at **********.",TAKEN UP WITH SUBORDINATE ORGANISATION,15-04-19,Central Board of Direct Taxes (Income Tax),CHIEF COMMISSIONER OF INCOME TAX KANPUR,"** दिनों की समय सीमा के भीतर शिकायत का निवारण किया जाना चाहिए। यदि इसे हल करने में अधिक समय लग सकता है तो शिकायत पर एक कार्यवाही रिपोर्ट सीपीजीआरएएमएस पोर्टल पर अपलोड की जानी चाहिए और देरी के कारण के साथ अंतरिम उत्तर याचिकाकर्ता को भेजा जाना चाहिए। कृपया शिकायत के निवारण पर दस्तावेजी सबूत के साथ अंतिम रिपोर्ट अपलोड करें।	/	 The grievance should be redressed within the time limit of ** days. In case it is likely to take longer time to redress then an Action Taken Report on the grievance is to be uploaded on CPGRAMS portal and an interim reply with reason for delay must be sent to the petitioner. Kindly upload the final report along with documentary evidence on redressal of grievance. ",1743
CBODT/E/2019/08091  ,An amount of Rs. ****** has been deducted out of refund of Mr. Kundan Lal Bhatia for AY ****-** against a fake demand of AY ****-** being Rs. ***** for regular assessment tax Rs. ***** penalty and Rs. ***** and Rs. ***** towards interest under section *** (*) on these amount while regular demand of Rs. ***** and Penalty of Rs. ***** is already deposited as per copy of challan enclosed. Therefore a total deduction of Rs. ****** out of our refund for AY ****-** is required to be refunded along with interest up to date.In above respect we have filed various online responses to delete the above said fake demand still it was deducted out of our refund for AY **-** and now we have filed a grievance on Income Tax Portal on **.**.**** (Copy Enclosed) vide Acknowledgement no. *************** and grievance UID ***************   however no response after * months could be seen in the matter.  Therefore we are forced to file the grievance on this portal and hope that our refund will be processed at earliest.,TAKEN UP WITH SUBORDINATE ORGANISATION,18-04-19,CHIEF COMMISSIONER OF INCOME TAX KANPUR,"Commissioner of Income Tax, KANPUR-II", CASE PERTAINS TO CIT-* KANPUR,1744
CBODT/E/2019/08092  ,Dear MadamWe hereby informing your goodselves that we yet to receive the Income Tax Refund amounting to Rs.*******/- for the AY: ****-**. Though the Returned Loss was accepted by the Assessing Officer and the Assessment Order u/s *** (*) dt. *.**.**** was passed the AO had erroneously levied Interest u/s ***B as against NIL and adjusted the entire IT Refund of Rs.*******/- as interest u/s ***B .  When the tax liability was NIL the Interest u/s ***B should also be NIL.  And the TDS credts were short granted to Rs.*****/- in the said assmt. order.  Reason for the same was not furnished.   Based on the above assessment order we have filed a Petition u/s *** on **.*.****  to rectify the above mistakes apparent in the said order. Copy of the order and petition filed are enclosed herewith for your kind reference. Continuous follow up actions being made with the Jurisdictional Assessment Circle & copy of the relevant documents were also been  filed repeatedly to process the petition and to collect the refund due. But the same was not processed till date. Hence we request you to Direct the Assessing Officer to delete the wrong levy of Interest u/s ***B issue order u/s *** for rectification of mistakes apparent and to release the refund due amounting to Rs.*******/- alongwith Interest u/s ***A upto till date  at the earliest.   Your earlier action in this regard is highly helpful to us at this moment.Kind RegdsTASK PRESSINGS LIMITEDChennai-TN.,TAKEN UP WITH SUBORDINATE ORGANISATION,15-04-19,CHIEF COMMISSIONER OF INCOME TAX  CHENNAI,CHIEF COMMISSIONER OF INCOME TAX III,The grievance has been forwarded to the Assessing Officer concerned.,1746
CBODT/E/2019/08093  ,We have paid income tax in the past under protest for untenable additions made in the assessment proceedings.  Because of high pressure from the tax department we have paid income tax (under protest) for AY ****-****-****-** & **-**. However at the later date Pune Bench of  Tribunal passes a favorable decision and the tax paid in the past turns to be refund entitlement.Since then we are perusing refunds by filing various petitions/grievances/reminders/letters personal visits. All over petitions/reminders/letters are fruitless and turned to be nightmare until Mr. Shrikant Pandey  ITO Ward *(*) Exep. Pune resume office.We would like to express our heartfelt gratitude to Mr. Pandey since all over past refunds petitions were addressed and refund amount along with interest is  crystallized. Though we have not granted any refund (since they were adjusted in subsequent years disputed demand) but at-least our letters/reminder were given due importance after a decade. We sincerely believe that honest tax payer should be given due importance by attending their grievance on priority.CBDT should try and remove the feeling of the honest tax payer that if you are honest and paying tax regularly  there is no guarantee that you will certainly sleep well at night.,TAKEN UP WITH SUBORDINATE ORGANISATION,15-04-19,Central Board of Direct Taxes (Income Tax),DIRECTOR GENERAL OF INCOME TAX (EXEMPTION)," ** दिनों की समय सीमा के भीतर शिकायत का निवारण किया जाना चाहिए। यदि इसे हल करने में अधिक समय लग सकता है तो शिकायत पर एक कार्यवाही रिपोर्ट सीपीजीआरएएमएस पोर्टल पर अपलोड की जानी चाहिए और देरी के कारण के साथ अंतरिम उत्तर याचिकाकर्ता को भेजा जाना चाहिए। कृपया शिकायत के निवारण पर दस्तावेजी सबूत के साथ अंतिम रिपोर्ट अपलोड करें।	/	 The grievance should be redressed within the time limit of ** days. In case it is likely to take longer time to redress then an Action Taken Report on the grievance is to be uploaded on CPGRAMS portal and an interim reply with reason for delay must be sent to the petitioner. Kindly upload the final report along with documentary evidence on redressal of grievance. ",1747
CBODT/E/2019/08094  ,For Assessment year ****-** Assessment was completed under section ***(*) of the Act on **.**.**** Refund was determine at Rs.*******. Till date Refund not received by the Assessee Company Assesseed by Deputy Commission of Income Tax *(*)(*) Mumbai. Order for Assessment year ****-** uploaded by the Assessing Officer on ITBA requesting for issue of Refund Voucher of Rs.******* to the Assessee Company as per Assessment Order u/s ***(*) of the Act **** made on **.**.****. As per the Order Status of the ITBA it is shown Accounting closed by CPC. There are no arrears of the Assessee Company. The Assessee Company has not received Refund of Rs.*******. It is therefore requested that Refund Voucher of Rs.******* should be issued to the Asseessee Company at the earliest. Grievance Application was filed by the Asseessee Company on **.**.**** under registration No.CBODT.E.****.*****. On **.**.**** the Company received intimation that case is closed but till date the Asseessee Company has not received Refund Voucher of Rs.*******. It is therefore requested that Refund Voucher of Rs.******* should be issued to the Assessee Company at the earliest on priority basis as considerable time have been passed.,TAKEN UP WITH SUBORDINATE ORGANISATION,16-04-19,Pr. Commissioner Of Income Tax 1,Addl Commissioner of Income Tax 1 2, As per PAN database the jurisdiction over the case lies with Cir. *(*)(*)Mumbai.. The grievance should be redressed within the time limit of ** days and an Interim Report should be uploaded within * days i.e. by **.**.****.,1749
